Data do jogo,Hora do jogo,Total de ingressos vendidos,Arrecadação total
14/05/2017,16:00:00,"33.425,00","2.109.685,93"
04/06/2017,16:00:00,"34.240,00","2.118.118,74"
10/06/2017,16:00:00,"33.066,00","2.126.138,83"
21/06/2017,21:00:00,"29.014,00","1.590.701,88"
01/07/2017,16:00:00,"31.395,00","963.172,50"
12/07/2017,21:45:00,"39.091,00","2.744.600,04"
16/07/2017,11:00:00,"36.263,00","2.712.864,15"
29/07/2017,19:00:00,"33.633,00","2.139.243,95"
06/08/2017,16:00:00,"29.778,00","1.706.659,17"
20/08/2017,19:00:00,"21.261,00","1.071.429,69"
27/08/2017,16:00:00,"33.537,00","2.195.368,53"
18/09/2017,20:00:00,"26.440,00","767.222,50"
30/09/2017,19:00:00,"37.527,00","2.760.716,34"
12/10/2017,21:00:00,"25.234,00","739.950,00"
19/10/2017,20:00:00,"19.976,00","525.802,50"
30/10/2017,20:00:00,"37.961,00","2.832.058,34"
12/11/2017,17:00:00,"27.831,00","1.830.938,52"
16/11/2017,20:00:00,"18.744,00","935.034,56"
27/11/2017,20:00:00,"23.562,00","1.230.114,47"
22/04/2018,16:00:00,"25.504,00","717.950,00"
29/04/2018,16:00:00,"30.671,00","1.749.825,94"
19/05/2018,21:00:00,"26.351,00","1.517.906,22"
26/05/2018,19:00:00,"25.947,00","1.506.726,18"
02/06/2018,21:00:00,"32.841,00","2.162.298,88"
13/06/2018,21:00:00,"36.882,00","2.598.847,44"
22/07/2018,16:00:00,"29.246,00","1.907.270,12"
29/07/2018,11:00:00,"35.776,00","2.565.986,14"
12/08/2018,19:00:00,"30.012,00","1.930.884,80"
22/08/2018,21:00:00,"24.882,00","1.446.357,26"
05/09/2018,21:00:00,"24.601,00","1.263.083,14"
09/09/2018,16:00:00,"38.568,00","2.781.213,42"
30/09/2018,11:00:00,"35.674,00","1.260.130,00"
14/10/2018,16:00:00,"35.812,00","1.254.125,00"
21/10/2018,16:00:00,"36.323,00","1.178.690,00"
03/11/2018,19:00:00,"38.938,00","2.723.126,86"
14/11/2018,21:45:00,"37.430,00","2.480.931,96"
21/11/2018,21:45:00,"39.429,00","2.615.582,46"
02/12/2018,17:00:00,"41.256,00","3.514.618,30"
28/04/2019,19:00:00,"26.701,00","1.473.177,20"
04/05/2019,19:00:00,"31.549,00","1.952.668,00"
18/05/2019,19:00:00,"32.501,00","987.830,00"
08/06/2019,16:30:00,"37.086,00","2.489.587,85"
13/06/2019,20:00:00,"31.946,00","1.895.478,65"
27/07/2019,17:00:00,"37.754,00","2.553.733,15"
11/08/2019,16:00:00,"34.275,00","2.160.817,20"
10/09/2019,21:00:00,"27.956,00","1.557.517,40"
14/09/2019,19:00:00,"35.578,00","2.267.761,50"
21/09/2019,19:15:00,"21.537,00","576.020,00"
06/10/2019,16:00:00,"32.659,00","2.052.902,35"
12/10/2019,21:00:00,"21.010,00","579.605,00"
16/10/2019,21:00:00,"22.738,00","1.228.370,30"
30/10/2019,19:30:00,"29.481,00","1.731.916,80"
02/11/2019,19:00:00,"29.019,00","1.777.812,70"
09/11/2019,19:00:00,"36.290,00","1.420.520,00"
24/11/2019,16:00:00,"22.767,00","1.292.109,15"
01/12/2019,16:00:00,"22.219,00","1.291.119,45"
05/12/2019,19:15:00,"7.229,00","221.287,50"
06/06/2021,18:15:00,"0,00","0,00"
12/06/2021,19:00:00,"0,00","0,00"
20/06/2021,11:00:00,"0,00","0,00"
27/06/2021,20:00:00,"0,00","0,00"
07/07/2021,19:00:00,"0,00","0,00"
10/07/2021,16:30:00,"0,00","0,00"
24/07/2021,19:00:00,"0,00","0,00"
07/08/2021,21:00:00,"0,00","0,00"
22/08/2021,11:00:00,"0,00","0,00"
28/08/2021,21:00:00,"0,00","0,00"
12/09/2021,16:00:00,"0,00","0,00"
03/10/2021,18:15:00,"0,00","0,00"
09/10/2021,21:00:00,"8.884,00","538.312,34"
17/10/2021,16:00:00,"11.111,00","635.538,98"
25/10/2021,21:30:00,"13.367,00","788.538,85"
10/11/2021,20:30:00,"19.165,00","1.130.116,37"
17/11/2021,20:30:00,"35.570,00","2.460.171,02"
23/11/2021,21:30:00,"17.744,00","1.018.080,79"
09/12/2021,21:30:00,"5.304,00","148.992,13"
09/04/2022,21:00:00,"27.100,00","1.585.113,50"
23/04/2022,19:00:00,"23.973,00","908.427,73"
08/05/2022,16:00:00,"28.776,00","1.748.880,27"
14/05/2022,16:30:00,"36.123,00","2.267.245,54"
05/06/2022,16:00:00,"40.235,00","2.701.274,45"
09/06/2022,19:00:00,"33.431,00","2.094.253,17"
16/06/2022,18:00:00,"38.888,00","2.130.126,80"
02/07/2022,21:00:00,"39.192,00","2.320.330,60"
18/07/2022,20:00:00,"39.033,00","2.103.919,81"
24/07/2022,16:00:00,"38.658,00","2.282.828,60"
07/08/2022,16:00:00,"38.801,00","2.105.530,28"
21/08/2022,16:00:00,"40.485,00","4.240.006,98"
10/09/2022,21:00:00,"39.337,00","2.251.971,21"
18/09/2022,18:30:00,"40.337,00","2.450.421,12"
06/10/2022,19:00:00,"39.877,00","2.404.137,18"
16/10/2022,16:00:00,"40.795,00","3.029.618,51"
22/10/2022,21:00:00,"40.044,00","3.096.147,33"
02/11/2022,21:30:00,"29.104,00","3.675.069,72"
09/11/2022,21:30:00,"28.721,00","2.025.716,76"
15/04/2023,16:00:00,"35.835,00","2.289.979,83"
29/04/2023,18:30:00,"41.457,00","3.587.027,46"
10/05/2023,21:30:00,"37.532,00","2.893.720,73"
13/05/2023,18:30:00,"39.488,00","3.109.221,95"
04/06/2023,18:30:00,"32.570,00","2.578.904,79"
25/06/2023,16:00:00,"38.877,00","4.160.197,59"
08/07/2023,21:00:00,"40.229,00","3.148.494,25"
22/07/2023,16:00:00,"39.699,00","2.709.060,62"
14/08/2023,19:00:00,"38.555,00","2.485.779,06"
27/08/2023,18:30:00,"40.292,00","2.558.309,65"
15/09/2023,21:30:00,"38.146,00","2.450.600,58"
08/10/2023,16:00:00,"17.049,00","801.845,00"
19/10/2023,19:00:00,"27.718,00","1.665.375,02"
25/10/2023,20:00:00,"32.618,00","1.995.950,97"
28/10/2023,19:00:00,"33.747,00","2.226.993,59"
04/11/2023,21:30:00,"17.301,00","924.430,22"
11/11/2023,21:00:00,"19.358,00","921.149,00"
29/11/2023,21:30:00,"29.717,00","2.694.055,09"
03/12/2023,16:00:00,"29.986,00","2.711.928,35"
